time_stamp,bank_id,type,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17
1675636926.765506,12,V,0.467,0.564,1.651,2.036,2.586,1.14,0.638,2.128,2.969,2.829,1.416,1.794,1.617,1.088,2.126,0.73,0.311
1675636931.214869,2,V,2.76,1.308,2.763,2.939,2.096,0.164,1.885,0.052,0.904,2.77,2.158,1.635,1.183,1.802,0.954,2.204,0.396
1675636931.636151,1,T,0.783,1.134,2.053,1.363,1.018,0.604,1.849,1.655,2.393,2.173,0.773,2.226,1.365,1.233,0.738,0.066,1.992
1675636932.053088,2,V,2.209,2.67,0.147,2.65,1.138,0.571,0.552,2.794,0.374,0.207,0.306,2.693,0.292,0.508,0.789,0.021,2.66
1675636932.4706051,2,V,0.582,0.026,1.94,2.309,1.064,1.822,2.526,1.521,2.436,0.142,1.389,0.759,1.323,2.213,1.867,1.523,2.779
1675636932.814496,2,V,0.44,2.925,0.132,2.521,1.626,0.999,0.615,0.697,0.011,1.561,0.141,2.989,2.748,0.624,1.833,1.685,1.878
1675637216.727853,4,V,0.061,1.541,2.643,2.462,0.603,2.622,1.877,1.755,2.381,2.567,1.537,1.007,0.311,2.074,0.292,1.02,0.156
1675637217.3972669,4,V,0.935,2.934,2.836,2.889,2.033,1.708,0.463,1.182,1.194,2.202,1.784,2.965,2.599,2.74,0.876,2.547,2.711
1675637225.331897,1,T,1.975,2.362,1.998,0.365,2.34,1.416,2.071,2.556,1.521,0.928,1.377,0.011,0.012,0.759,1.718,2.022,1.116
1675637225.7524831,2,V,0.238,2.607,0.024,1.607,0.499,0.504,2.361,2.421,1.805,1.05,2.359,1.929,1.539,1.879,2.062,1.096,0.982
1675637226.1001558,5,V,1.635,2.839,1.877,0.88,2.089,1.565,0.509,1.012,2.228,1.067,0.91,2.813,0.254,2.297,2.406,2.601,2.23
1675637226.306769,1,T,2.671,2.158,2.083,0.95,0.423,1.716,2.921,1.866,2.67,0.471,2.753,1.983,2.723,2.391,2.16,2.73,2.411
1675637226.590197,1,T,1.728,0.378,0.803,2.389,1.364,1.328,0.361,0.062,2.077,1.439,1.58,1.246,1.829,2.112,1.27,2.1,2.563





1675907571.344297,0,V,3.441,3.465,3.459,3.435,3.46,3.454,3.478,3.477,3.465,3.461,3.47,3.46,3.468,3.469,3.469,3.415,3.413
